Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	0.8861949443817139	22.293045	23.317293	132.62253	5.2394886	24.625	60.34344	0.0	60.34344	60.34344	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.7291627	6.7094154	36.678383	-2.625948	10.1052065	9.05973	48.583626	-1.3433346	-0.0061865887	0.047799826	0.168573	-0.16255322	-10.111393	9.070131	1.3807238	-48.5789	10.145801	9.031626	48.5789	0.001508444	-0.6607826	0.36803898	0.13807239	-1.0099081	184.50757	321.93192	2359.9097	2.2754034e-06	9.227102	9.629298	48.574173	2.2754033e-07
1	1999	1.7464556694030762	20.814556	20.167421	124.153015	5.428253	23.5	60.34344	0.0	60.34344	60.34344	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.7483964	7.310343	39.080383	-2.8002498	10.984582	9.529416	48.683907	-0.9443766	-0.003952304	0.04687444	0.18732017	-0.16224207	-10.988535	9.540508	0.90133053	-48.688946	11.003257	9.523523	48.688946	0.010138906	-0.68888617	0.3561483	0.090133056	-1.0123336	211.7692	347.30276	2370.6135	0.0001027974	10.116433	10.14891	48.69399	1.027974e-05
2	2999	2.5964391231536865	17.460537	16.582548	105.42657	5.3510084	20.979591	59.399616	0.0	59.399616	59.399616	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.242789	9.662742	58.47826	-4.99384	10.739811	12.036865	74.159966	-2.5599966	-0.008469305	0.043854173	0.14607234	-0.1162291	-10.74828	12.045053	2.5024693	-74.17783	10.850834	11.952749	74.17783	0.004840625	-0.64133024	0.3899804	0.25024694	-1.007716	260.6088	697.6267	5502.3506	2.3431649e-05	9.972205	12.455373	74.1957	2.3431649e-06
3	3999	3.451641082763672	17.077888	8.235182	38.263966	5.8786683	22.044445	59.796833	0.0	59.796833	59.796833	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.590205	5.223795	26.146915	-3.7620254	8.85311	7.3463855	36.12098	-1.6736869	-0.0084248325	0.04649866	0.16572556	-0.15314361	-8.861535	7.3598332	1.6225318	-36.12196	8.906902	7.3048654	36.12196	0.009622858	-0.6338095	0.3774763	0.16225317	-1.0088505	132.69395	191.04324	1304.796	9.25994e-05	7.9684587	7.9119225	36.12294	9.25994e-06
4	4999	4.315850734710693	22.184013	22.71988	109.465385	6.3513336	23.47619	60.312553	0.0	60.312553	60.312553	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.659572	6.1368732	31.83089	-0.9763319	9.697317	8.446302	43.746334	-0.7335529	-0.0038977328	0.04480517	0.14505143	-0.13319752	-9.701216	8.457614	0.6789239	-43.791626	9.705785	8.452368	43.791626	0.0013547149	-0.6547917	0.36147785	0.06789239	-1.0126789	165.6448	276.27402	1917.7065	1.8352524e-06	8.749803	9.069452	43.836967	1.8352524e-07
5	5999	359.35815048217773	152.01244	67.16471	216.72551	23.945547	76.92308	288.3991	0.0	288.3991	288.3991	150.0	106.753456	65.382645	241.22371	-50.551964	30.63509	-0.19999196	2.0872316	14.253468	-10.380854	-114.61717	0.9028588	0.04768397	0.99970007	0.82349944	-0.09704635	0.9430591	0.6656184	4.682624	6.2584877e-06	111.96355	43.545288	164.71083	1.8925698	118.32734	47.415867	181.63559	1.8925698	200.26157	40.942993	281.81583	5.926808	81.93421	44.088192	226.47284	-57.49924	82.34301	43.31988	226.47284	0.49884558	1.371854	2.4722476	20.915863	-0.5977173	8656.983	8779.408	51289.95	0.24884692	177.35014	430.23145	4374.7334	0.0032645646
6	6999	717.2982330322266	279.59436	65.38567	330.7316	120.26262	126.75	276.3093	0.0	276.3093	276.3093	118.0	204.59225	55.397926	286.5139	-199.51425	63.732582	0.108593285	2.3766296	16.117392	-10.472933	-216.08131	0.7333809	0.05278441	0.8233063	0.639418	-0.28264883	0.97053635	0.70466906	5.180065	3.1664968e-07	105.45405	46.110325	155.42403	1.7898444	111.73602	50.82586	171.37148	1.7898444	197.35693	40.95904	239.77304	11.931685	85.62091	21.144192	133.8599	9.809966	85.62091	21.144192	133.8599	9.809966	1.408539	1.6622988	8.958196	0.37663427	7778.0166	3987.9456	17918.47	96.23543	131.75262	150.8749	802.4927	9.623543
7	7999	1081.176147699356	243.99197	53.93452	296.31042	98.500305	107.888885	303.05142	0.0	303.05142	303.05142	123.0	186.23901	56.117428	244.53082	-92.06534	44.982147	-0.10400829	2.3719962	17.291231	-10.464643	-195.25339	0.54864025	0.049703427	0.63921994	0.46589798	-0.67045337	0.92631567	0.69767857	5.6862226	4.0233135e-07	116.71846	49.629414	171.39078	2.1396732	127.910934	54.819923	189.93674	2.1396732	140.02795	62.658684	208.497	-37.38511	12.117038	14.448194	39.351112	-45.978264	15.808924	10.27866	45.978264	0.0052982196	0.017974718	0.4838921	0.61156315	-4.140691	355.5729	392.49838	2114.0007	2.8071134e-05	5.0893636	14.497138	171.45322	2.5119837e-07
8	8999	1449.2836391925812	351.76797	26.314371	377.55734	300.96915	174.0	313.8127	0.0	313.8127	313.8127	151.0	154.72305	50.386852	213.51947	-166.83096	26.919514	-0.25044718	2.3839028	20.129889	-10.73688	-161.32648	0.39792094	0.037028722	0.4657387	0.33594382	-1.162898	0.9098165	0.6983981	6.06555	1.5497208e-06	114.6085	43.620033	163.51971	2.3042986	126.833176	49.518345	182.77736	2.3042986	119.6887	52.300587	174.45865	-33.74987	-7.144473	9.205629	13.700096	-36.321774	9.375691	6.9197917	36.321774	0.0066856	-0.110481836	0.27138376	0.5114518	-3.6321774	135.78714	180.52472	1319.2712	4.4697248e-05	2.169921	7.4982038	131.92712	2.621828e-07
9	9999	1818.1336686611176	272.4408	36.990574	353.83417	225.51273	120.111115	276.2005	0.0	276.2005	276.2005	113.0	135.97585	44.688686	179.92535	-54.34072	17.44612	-0.23320799	2.3620076	21.743046	-9.979021	-141.24797	0.2898849	0.024958842	0.3358283	0.24831238	-1.5317718	0.8932483	0.69082147	6.142437	3.2037497e-06	112.45782	47.67917	172.00377	1.8944072	122.357445	52.883675	189.36177	1.8944072	113.58512	47.809277	162.45743	-31.484356	-8.772326	23.599564	98.57258	-48.3827	20.143402	15.104186	98.57258	0.057144728	-0.005756274	0.82036877	9.482946	-3.5742254	633.8932	1175.8473	9716.554	0.00326552	12.996471	67.1198	899.2627	5.027516e-05
